date,category,expected_volume,actual_volume,is_weekend,is_holiday,month_sin,month_cos,day_sin,day_cos
2024-09-18,Bildung,37836,23107,False,False,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143
2024-09-18,Digitalisierung,41084,38203,False,False,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143
2024-09-18,Gesundheit,79831,84757,False,False,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143
2024-09-18,Migration,40127,51520,False,False,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143
2024-09-18,Sicherheit,23663,30047,False,False,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143
2024-09-18,Umwelt,71215,90653,False,False,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143
2024-09-18,Verkehr,77140,78211,False,False,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143
2024-09-18,Wirtschaft,41271,40167,False,False,-1.0,-1.8369701987210292e-16,0.9749279121818236,-0.2225209339563143
2024-09-19,Bildung,34993,33556,False,False,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
2024-09-19,Digitalisierung,45619,57629,False,False,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
2024-09-19,Gesundheit,73895,78045,False,False,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
2024-09-19,Migration,37011,44563,False,False,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
2024-09-19,Sicherheit,20445,15316,False,False,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
2024-09-19,Umwelt,67948,99957,False,False,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
2024-09-19,Verkehr,68387,84704,False,False,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
2024-09-19,Wirtschaft,50031,54086,False,False,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
2024-09-20,Bildung,41659,37370,False,False,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191
2024-09-20,Digitalisierung,46879,49291,False,False,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191
2024-09-20,Gesundheit,93653,81608,False,False,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191
2024-09-20,Migration,40879,33240,False,False,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191
2024-09-20,Sicherheit,31700,21037,False,False,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191
2024-09-20,Umwelt,63595,62132,False,False,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191
2024-09-20,Verkehr,70912,73291,False,False,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191
